,ACCESSCORP,DANGCEM,DANGSUGAR,GTCO,MTNN,NESTLE,PRESCO,SEPLAT,UBA,ZENITH
ACCESSCORP,1.0,0.072700922844267,0.24075765461534399,0.4356602825488332,0.18767258957858413,0.09754273596908528,0.058457673290045725,0.054721314174602256,0.5650801840029344,0.521188174642186
DANGCEM,0.072700922844267,1.0,0.03923354228349496,0.04698111853966193,0.11088809023544094,0.014737916802573357,0.04249922570607094,0.022321598832302673,0.020932389697023077,0.08353141847065328
DANGSUGAR,0.24075765461534399,0.03923354228349496,1.0,0.26819715185988063,0.11485455912171035,0.05085039096028194,0.08442753113669929,0.012889277944879676,0.21668840409999002,0.22133623524223384
GTCO,0.4356602825488332,0.04698111853966193,0.26819715185988063,1.0,0.19314330252294223,0.07787338122147351,0.12151188423795665,0.046831301235277394,0.4040355656128036,0.5811748962342447
MTNN,0.18767258957858413,0.11088809023544094,0.11485455912171035,0.19314330252294223,1.0,0.0637591839530392,0.037270278470532846,0.05785456483114675,0.16443878078013033,0.2303543258651033
NESTLE,0.09754273596908528,0.014737916802573357,0.05085039096028194,0.07787338122147351,0.0637591839530392,1.0,0.04623092888575701,0.07232035327412395,0.09505753227475192,0.08981263562048789
PRESCO,0.058457673290045725,0.04249922570607094,0.08442753113669929,0.12151188423795665,0.037270278470532846,0.04623092888575701,1.0,0.01466702385693997,0.02763221045136173,0.052895039441520825
SEPLAT,0.054721314174602256,0.022321598832302673,0.012889277944879676,0.046831301235277394,0.05785456483114675,0.07232035327412395,0.01466702385693997,1.0,0.08810630591512084,0.056949846639731835
UBA,0.5650801840029344,0.020932389697023077,0.21668840409999002,0.4040355656128036,0.16443878078013033,0.09505753227475192,0.02763221045136173,0.08810630591512084,1.0,0.5421689943879219
ZENITH,0.521188174642186,0.08353141847065328,0.22133623524223384,0.5811748962342447,0.2303543258651033,0.08981263562048789,0.052895039441520825,0.056949846639731835,0.5421689943879219,1.0
