Stocks,Stocks,Annual Return,Annual Volatility,VaR (95%),Return Rank,Risk Rank,Maximum Drawdown,Sector,Sector Beta,Sharpe Ratio
0,ACCESSCORP,0.35719421121778744,0.43084809768064286,-0.03731481481481482,9.0,8.0,-0.4666666666666668,Banking,,0.5969486986302704
1,DANGCEM,0.4199063192147912,0.3455403841466581,0.0,7.0,4.0,-0.4954128440366972,Industrial,,0.9258145614580696
2,DANGSUGAR,0.4631185996201424,0.5397058971835732,-0.052649350022911975,6.0,10.0,-0.6545674531155476,Consumer Goods,,0.672808285985122
3,GTCO,0.5367866030007385,0.3639261368376361,-0.02985983827493259,4.0,5.0,-0.3836003770028274,Banking,,1.200206741940079
4,MTNN,0.4134653456495675,0.3664040183413132,-0.031197669350583736,8.0,6.0,-0.42711864406779726,Telecommunications,,0.8555183075464196
5,NESTLE,0.25634108235362396,0.2914922706408791,0.0,10.0,1.0,-0.4198419452887536,Consumer Goods,,0.536347265777889
6,PRESCO,0.745680274043683,0.33392839475909125,0.0,1.0,3.0,-0.39890710382513667,Agriculture,,1.9335890094327004
7,SEPLAT,0.5607854416226327,0.2961802845219762,0.0,3.0,2.0,-0.2659914319784474,Oil & Gas,,1.555760007342565
8,UBA,0.5690404977487854,0.4426551335190641,-0.039946843853820635,2.0,9.0,-0.43446244477172297,Banking,,1.0596070444726582
9,ZENITH,0.5271638966296025,0.38444157999473233,-0.03107045882549202,5.0,7.0,-0.36639118457300335,Banking,,1.1111282412153638
